"code_state","code_muni","name_muni","date","precip_mm"
13,1300839,"Caapiranga",2025-06-22,11.257417678833
13,1300904,"Canutama",2025-06-22,1.84163653850555
13,1301001,"Carauari",2025-06-22,2.63617467880249
13,1301100,"Careiro",2025-06-22,12.0138683319092
13,1301159,"Careiro da Várzea",2025-06-22,5.49596118927002
13,1301209,"Coari",2025-06-22,15.6624660491943
13,1301308,"Codajás",2025-06-22,7.90492582321167
13,1301407,"Eirunepé",2025-06-22,0.830068945884705
13,1301506,"Envira",2025-06-22,0.847267508506775
13,1301605,"Fonte Boa",2025-06-22,4.97740602493286
13,1301654,"Guajará",2025-06-22,0.72226357460022
13,1301704,"Humaitá",2025-06-22,3.11931896209717
13,1301803,"Ipixuna",2025-06-22,1.5147145986557
13,1301852,"Iranduba",2025-06-22,7.19767761230469
13,1301902,"Itacoatiara",2025-06-22,7.32968616485596
13,1301951,"Itamarati",2025-06-22,0.966074705123901
13,1302009,"Itapiranga",2025-06-22,1.20391452312469
13,1302108,"Japurá",2025-06-22,5.42060852050781
13,1302207,"Juruá",2025-06-22,5.83573961257935
13,1302306,"Jutaí",2025-06-22,3.41365504264832
13,1302405,"Lábrea",2025-06-22,0.243964344263077
13,1302504,"Manacapuru",2025-06-22,12.0059680938721
13,1302553,"Manaquiri",2025-06-22,10.698205947876
13,1302603,"Manaus",2025-06-22,7.1759786605835
13,1302702,"Manicoré",2025-06-22,5.67356443405151
13,1302801,"Maraã",2025-06-22,5.13377857208252
13,1302900,"Maués",2025-06-22,11.8630132675171
13,1303007,"Nhamundá",2025-06-22,0.868630051612854
13,1303106,"Nova Olinda do Norte",2025-06-22,11.642970085144
13,1303205,"Novo Airão",2025-06-22,7.44092893600464
13,1303304,"Novo Aripuanã",2025-06-22,3.98545551300049
13,1303403,"Parintins",2025-06-22,5.04132175445557
13,1303502,"Pauini",2025-06-22,0.89254903793335
13,1303536,"Presidente Figueiredo",2025-06-22,2.02705097198486
13,1303569,"Rio Preto da Eva",2025-06-22,4.4523196220398
13,1303601,"Santa Isabel do Rio Negro",2025-06-22,2.93688774108887
13,1303700,"Santo Antônio do Içá",2025-06-22,4.79146432876587
13,1303809,"São Gabriel da Cachoeira",2025-06-22,4.03130531311035
13,1303908,"São Paulo de Olivença",2025-06-22,3.37440133094788
13,1303957,"São Sebastião do Uatumã",2025-06-22,0.748824417591095
13,1304005,"Silves",2025-06-22,3.37475848197937
13,1304062,"Tabatinga",2025-06-22,5.10505437850952
13,1304104,"Tapauá",2025-06-22,6.95843696594238
13,1304203,"Tefé",2025-06-22,7.41588544845581
13,1304237,"Tonantins",2025-06-22,8.31668853759766
13,1304260,"Uarini",2025-06-22,12.8639345169067
13,1304302,"Urucará",2025-06-22,1.08434283733368
13,1304401,"Urucurituba",2025-06-22,5.49620771408081
14,1400027,"Amajari",2025-06-22,2.31607246398926
14,1400050,"Alto Alegre",2025-06-22,1.03730976581573
14,1400100,"Boa Vista",2025-06-22,0.424437671899796
14,1400159,"Bonfim",2025-06-22,0.223190769553185
14,1400175,"Cantá",2025-06-22,0.183226376771927
14,1400209,"Caracaraí",2025-06-22,0.990045428276062
14,1400233,"Caroebe",2025-06-22,0.607538878917694
14,1400282,"Iracema",2025-06-22,0.609984934329987
14,1400308,"Mucajaí",2025-06-22,0.489499151706696
14,1400407,"Normandia",2025-06-22,0.867294549942017
14,1400456,"Pacaraima",2025-06-22,2.03054213523865
14,1400472,"Rorainópolis",2025-06-22,2.0785813331604
14,1400506,"São João da Baliza",2025-06-22,1.21751642227173
14,1400605,"São Luiz do Anauá",2025-06-22,1.17906141281128
14,1400704,"Uiramutã",2025-06-22,4.76132774353027
15,1500107,"Abaetetuba",2025-06-22,17.0705375671387
15,1500131,"Abel Figueiredo",2025-06-22,1.28143680095673
15,1500206,"Acará",2025-06-22,21.7215690612793
15,1500305,"Afuá",2025-06-22,0.790027737617493
15,1500347,"Água Azul do Norte",2025-06-22,0.975027859210968
15,1500404,"Alenquer",2025-06-22,0.296561002731323
15,1500503,"Almeirim",2025-06-22,0.991767048835754
15,1500602,"Altamira",2025-06-22,2.34954380989075
15,1500701,"Anajás",2025-06-22,2.45027112960815
15,1500800,"Ananindeua",2025-06-22,11.5314455032349
15,1500859,"Anapu",2025-06-22,7.28139209747314
15,1500909,"Augusto Corrêa",2025-06-22,1.22340369224548
15,1500958,"Aurora do Pará",2025-06-22,25.7322845458984
15,1501006,"Aveiro",2025-06-22,14.424747467041
15,1501105,"Bagre",2025-06-22,12.7890892028809
15,1501204,"Baião",2025-06-22,8.7962532043457
15,1501253,"Bannach",2025-06-22,0.728034734725952
15,1501303,"Barcarena",2025-06-22,12.0279207229614
15,1501402,"Belém",2025-06-22,10.5101890563965
15,1501451,"Belterra",2025-06-22,11.0788335800171
15,1501501,"Benevides",2025-06-22,11.5072574615479
15,1501576,"Bom Jesus do Tocantins",2025-06-22,1.75186085700989
15,1501600,"Bonito",2025-06-22,5.83461618423462
15,1501709,"Bragança",2025-06-22,5.4472222328186
15,1501725,"Brasil Novo",2025-06-22,6.00680208206177
15,1501758,"Brejo Grande do Araguaia",2025-06-22,1.45611929893494
15,1501782,"Breu Branco",2025-06-22,10.918004989624
15,1501808,"Breves",2025-06-22,3.10467743873596
15,1501907,"Bujaru",2025-06-22,18.4950275421143
15,1501956,"Cachoeira do Piriá",2025-06-22,37.3760223388672
15,1502004,"Cachoeira do Arari",2025-06-22,4.35789489746094
15,1502103,"Cametá",2025-06-22,25.0596446990967
15,1502152,"Canaã dos Carajás",2025-06-22,1.80452394485474
15,1502202,"Capanema",2025-06-22,3.78660440444946
15,1502301,"Capitão Poço",2025-06-22,21.2248458862305
15,1502400,"Castanhal",2025-06-22,9.0235185623169
15,1502509,"Chaves",2025-06-22,0.293359369039536
15,1502608,"Colares",2025-06-22,3.04471731185913
15,1502707,"Conceição do Araguaia",2025-06-22,0.520486116409302
15,1502756,"Concórdia do Pará",2025-06-22,21.3362331390381
15,1502764,"Cumaru do Norte",2025-06-22,0.708167731761932
15,1502772,"Curionópolis",2025-06-22,0.681103110313416
15,1502806,"Curralinho",2025-06-22,6.0431923866272
15,1502855,"Curuá",2025-06-22,0.273578345775604
15,1502905,"Curuçá",2025-06-22,0.585137188434601
15,1502939,"Dom Eliseu",2025-06-22,5.11549377441406
15,1502954,"Eldorado do Carajás",2025-06-22,0.833958446979523
15,1503002,"Faro",2025-06-22,0.842654287815094
15,1503044,"Floresta do Araguaia",2025-06-22,1.44402074813843
15,1503077,"Garrafão do Norte",2025-06-22,23.1039962768555
15,1503093,"Goianésia do Pará",2025-06-22,8.66753196716309
15,1503101,"Gurupá",2025-06-22,4.70977401733398
15,1503200,"Igarapé-Açu",2025-06-22,3.27540731430054
15,1503309,"Igarapé-Miri",2025-06-22,18.1768798828125
